iter	Accuracy	MultiClass
0	0.5673828125	1.042447795
1	0.5869140625	1.01427086
2	0.642578125	0.960810313
3	0.6611328125	0.938988164
4	0.671875	0.9166271933
5	0.6748046875	0.8921820717
6	0.6904296875	0.8585672565
7	0.68359375	0.8317673128
8	0.697265625	0.8178659189
9	0.7041015625	0.7945373056
10	0.708984375	0.7699832843
11	0.7197265625	0.759878232
12	0.73046875	0.7492058065
13	0.7431640625	0.7394614677
14	0.75	0.7291549832
15	0.755859375	0.7194457958
16	0.763671875	0.7096550624
17	0.7744140625	0.6998372863
18	0.779296875	0.6913780059
19	0.77734375	0.6840810303
20	0.77734375	0.6774963926
21	0.7880859375	0.6680358856
22	0.78515625	0.6564944045
23	0.7900390625	0.6496783218
24	0.802734375	0.6438241827
25	0.814453125	0.6355061057
26	0.80859375	0.623541871
27	0.8076171875	0.6127224429
28	0.8193359375	0.6041315461
29	0.8173828125	0.5970227427
30	0.8251953125	0.5925640204
31	0.8310546875	0.5864609025
32	0.8408203125	0.5800693081
33	0.8330078125	0.5699375019
34	0.837890625	0.5610805322
35	0.841796875	0.5539005234
36	0.8447265625	0.5484095193
37	0.8408203125	0.5447635623
38	0.8486328125	0.531258581
39	0.857421875	0.5227109702
40	0.86328125	0.5154017244
41	0.865234375	0.5045447041
42	0.873046875	0.4950857105
43	0.869140625	0.4843592764
44	0.875	0.4782825765
45	0.875	0.4680119903
46	0.8798828125	0.4610223991
47	0.8916015625	0.4508197517
48	0.8994140625	0.4438090465
49	0.9033203125	0.4386363253
50	0.900390625	0.4302681187
51	0.8994140625	0.4230442005
52	0.908203125	0.4165726537
53	0.9091796875	0.4097946068
54	0.9130859375	0.4034941782
55	0.9150390625	0.3994146883
56	0.9169921875	0.392906844
57	0.9208984375	0.3866039048
58	0.923828125	0.3808581987
59	0.9296875	0.3765815124
60	0.9248046875	0.3720947343
61	0.9345703125	0.365027066
62	0.935546875	0.3602547976
63	0.9365234375	0.3554065591
64	0.9365234375	0.3514453794
65	0.939453125	0.3459255083
66	0.9384765625	0.3408413888
67	0.9404296875	0.336144441
68	0.9453125	0.3312964196
69	0.947265625	0.3284178725
70	0.9462890625	0.3230426067
71	0.947265625	0.3200373498
72	0.9501953125	0.3163747997
73	0.953125	0.3099020311
74	0.953125	0.3059527846
75	0.955078125	0.3020484538
76	0.95703125	0.2996437258
77	0.9580078125	0.2944150004
78	0.958984375	0.2916885053
79	0.9599609375	0.2900069237
