iter	Passed	Remaining
0	275	192390
1	413	144361
2	561	130405
3	681	118584
4	810	112604
5	932	107868
6	1053	104323
7	1165	100818
8	1286	98795
9	1417	97813
10	1549	97040
11	1723	98803
12	1850	97782
13	1973	96700
14	2095	95715
15	2220	94939
16	2348	94368
17	2478	93919
18	2616	93780
19	2752	93592
20	2876	92993
21	2998	92411
22	3121	91877
23	3228	90932
24	3344	90305
25	3478	90180
26	3648	90950
27	3768	90440
28	3889	89988
29	4027	89946
30	4131	89152
31	4235	88411
32	4340	87725
33	4453	87242
34	4593	87277
35	4721	87079
36	4843	86790
37	4962	86449
38	5075	86023
39	5193	85693
40	5302	85233
41	5416	84852
42	5536	84591
43	5660	84395
44	5785	84212
45	5922	84197
46	6036	83868
47	6143	83452
48	6250	83038
49	6355	82622
50	6487	82552
51	6595	82189
52	6708	81888
53	6827	81682
54	6930	81270
55	7053	81114
56	7166	80846
57	7282	80605
58	7389	80278
59	7511	80119
60	7619	79814
61	7787	80140
62	7978	80669
63	8099	80492
64	8209	80203
65	8315	79874
66	8426	79610
67	8534	79316
68	8633	78955
69	8743	78693
70	8858	78479
71	8969	78229
72	9078	77975
73	9202	77845
74	9308	77567
75	9420	77347
76	9520	77028
77	9625	76760
78	9732	76502
79	9838	76251
